state,county,status,url,final_url,http_status,platform,bytes,attempts
OK,Cleveland County,resolved,https://co.cleveland.ok.us,https://ccok.us/,200,other/unknown,7753,clevelandcountyok.gov:ConnectError
OK,Coal County,resolved,https://coalcounty.org,https://coalcounty.org,200,other/unknown,15603,coalcountyok.gov:ConnectError;co.coal.ok.us:ConnectError
OK,Comanche County,not_found,,,,not_found,,comanchecountyok.gov:RemoteProtocolError;co.comanche.ok.us:ConnectError;comanchecounty.org:wrong_county;comanchecountyoklahoma.gov:ConnectError
OK,Cotton County,not_found,,,,not_found,,cottoncountyok.gov:ConnectError;co.cotton.ok.us:ConnectError;cottoncounty.org:ConnectError;cottoncountyoklahoma.gov:ConnectError
OK,Craig County,not_found,,,,not_found,,craigcountyok.gov:ConnectError;co.craig.ok.us:ConnectError;craigcounty.org:ConnectError;craigcountyoklahoma.gov:ConnectError
OK,Creek County,resolved,https://creekcounty.org,https://creekcounty.org,200,other/unknown,1064,creekcountyok.gov:ConnectError;co.creek.ok.us:ConnectError
OK,Custer County,not_found,,,,not_found,,custercountyok.gov:ConnectError;co.custer.ok.us:ConnectError;custercounty.org:wrong_county;custercountyoklahoma.gov:ConnectError
OK,Delaware County,resolved,https://delawarecounty.org,https://www.delawarecounty.org/,200,other/unknown,57812,delawarecountyok.gov:ConnectError;co.delaware.ok.us:ConnectError
OK,Dewey County,not_found,,,,not_found,,deweycountyok.gov:ConnectError;co.dewey.ok.us:ConnectError;deweycounty.org:520;deweycountyoklahoma.gov:ConnectError
OK,Ellis County,not_found,,,,not_found,,elliscountyok.gov:ConnectError;co.ellis.ok.us:ConnectError;elliscounty.org:wrong_county;elliscountyoklahoma.gov:ConnectError
OK,Garfield County,not_found,,,,not_found,,garfieldcountyok.gov:ConnectError;co.garfield.ok.us:ConnectError;garfieldcounty.org:ConnectError;garfieldcountyoklahoma.gov:ConnectError
